序号,标题,链接,创建时间,状态,标签
1,oid v.s. void bat behavior,https://github.com/MonetDB/MonetDB/issues/1,2020-11-30T07:59:53Z,CLOSED,['bug']
2,join uses wrong column (?),https://github.com/MonetDB/MonetDB/issues/2,2020-11-30T07:59:56Z,CLOSED,['bug']
3,marking a void-T table nil,https://github.com/MonetDB/MonetDB/issues/3,2020-11-30T07:59:59Z,CLOSED,['bug']
4,kunique fails with empty strings,https://github.com/MonetDB/MonetDB/issues/6,2020-11-30T08:00:09Z,CLOSED,['bug']
5,weird code in interpret_file,https://github.com/MonetDB/MonetDB/issues/7,2020-11-30T08:00:12Z,CLOSED,['bug']
6,uninitialized local variable,https://github.com/MonetDB/MonetDB/issues/8,2020-11-30T08:00:15Z,CLOSED,['bug']
7,"Refcount warnings in ""varval""",https://github.com/MonetDB/MonetDB/issues/10,2020-11-30T08:00:21Z,CLOSED,['bug']
8,Bug in kintersect,https://github.com/MonetDB/MonetDB/issues/11,2020-11-30T08:00:23Z,CLOSED,['bug']
9,NaN / Inf test on Windows give wrong result,https://github.com/MonetDB/MonetDB/issues/13,2020-11-30T08:00:30Z,CLOSED,['bug']
10,radix.mx: cast to pointer from integer of different size,https://github.com/MonetDB/MonetDB/issues/14,2020-11-30T08:00:33Z,CLOSED,['bug']
11,Return types of head() and tail() do not match description,https://github.com/MonetDB/MonetDB/issues/15,2020-11-30T08:00:35Z,CLOSED,['bug']
12,decimal(0) = nil on SunOS-native,https://github.com/MonetDB/MonetDB/issues/18,2020-11-30T08:00:43Z,CLOSED,['bug']
13,xtables test hangs / takes 9 hours,https://github.com/MonetDB/MonetDB/issues/19,2020-11-30T08:00:46Z,CLOSED,['bug']
14,abort does not work as expected,https://github.com/MonetDB/MonetDB/issues/20,2020-11-30T08:00:48Z,CLOSED,['bug']
15,BAT leak in xtables with histogram on view,https://github.com/MonetDB/MonetDB/issues/22,2020-11-30T08:00:54Z,CLOSED,['bug']
16,header decoding in Java Mapi,https://github.com/MonetDB/MonetDB/issues/23,2020-11-30T08:00:57Z,CLOSED,['bug']
17,error messages too long,https://github.com/MonetDB/MonetDB/issues/25,2020-11-30T08:01:03Z,CLOSED,['bug']
18,Use of undeclared function: strtof,https://github.com/MonetDB/MonetDB/issues/26,2020-11-30T08:01:07Z,CLOSED,['bug']
19,C-Mapi does not work on Windows,https://github.com/MonetDB/MonetDB/issues/28,2020-11-30T08:01:13Z,CLOSED,['bug']
20,Build on SuSE 8.1 fails with --enable-optimize,https://github.com/MonetDB/MonetDB/issues/29,2020-11-30T08:01:16Z,CLOSED,['bug']
21,libperfctr.h and ANSI C (inline),https://github.com/MonetDB/MonetDB/issues/30,2020-11-30T08:01:20Z,CLOSED,['bug']
22,Mserver segfault in insert_delta,https://github.com/MonetDB/MonetDB/issues/32,2020-11-30T08:01:27Z,CLOSED,['bug']
23,Crash on insert,https://github.com/MonetDB/MonetDB/issues/33,2020-11-30T08:01:31Z,CLOSED,['bug']
24,ADT var not available,https://github.com/MonetDB/MonetDB/issues/34,2020-11-30T08:01:34Z,CLOSED,['bug']
25,Msql crashed on Windows,https://github.com/MonetDB/MonetDB/issues/35,2020-11-30T08:01:37Z,CLOSED,['bug']
26,Mserver segfault with module sql_server,https://github.com/MonetDB/MonetDB/issues/36,2020-11-30T08:01:41Z,CLOSED,['bug']
27,"MapiClient hangs on ""wrong"" rename",https://github.com/MonetDB/MonetDB/issues/37,2020-11-30T08:01:43Z,CLOSED,['bug']
28,Confusing error report in Mapi,https://github.com/MonetDB/MonetDB/issues/38,2020-11-30T08:01:47Z,CLOSED,['bug']
