序号,MySQL中ID,链接,创建日期,最近更新,类型,状态,严重性,版本,操作系统,CPU架构,摘要
1,119049,https://bugs.mysql.com/bug.php?id=119049,2025-09-22 07:23:00,2025-09-22 07:53:00,MySQL Server: Optimizer,Closed(1 day),S2,8.0.41,Linux (5.10.134-19.al8.x86_64),x86 (x86_64),Performance regression in 8.0.41 compared to 5.7.37 for queries using limit
2,118902,https://bugs.mysql.com/bug.php?id=118902,2025-08-27 14:16:00,2025-08-28 02:25:00,MySQL Server: InnoDB storage engine,Closed(26 days),S5,8.0.42,Any,Any,no need to set rec_new_set_instant in row_upd_rec_in_place
3,118870,https://bugs.mysql.com/bug.php?id=118870,2025-08-21 02:22:00,2025-08-21 02:33:00,MySQL Server: Optimizer,Closed(33 days),S3,8.0.43 MySQL Community Server - GPL,Linux (Rocky Linux release 8.8 (Green Obsidian)),Any,Constant conditions in SQL with derived views are not passed.
4,118838,https://bugs.mysql.com/bug.php?id=118838,2025-08-14 03:10:00,2025-08-18 15:21:00,MySQL Server: DML,Closed(36 days),S3,8.0.41,Any,Any,"A query containing a where subclause returnning true, the query result is empty."
5,118834,https://bugs.mysql.com/bug.php?id=118834,2025-08-14 02:54:00,2025-08-19 00:16:00,MySQL Server: DML,Closed(35 days),S3,8.0.41,Any,Any,"Change a number in the query statement to -(-NUMBER), the query return different results."
6,118525,https://bugs.mysql.com/bug.php?id=118525,2025-06-25 11:05:00,2025-07-09 11:32:00,Connector / ODBC,Closed(76 days),S2,9.3,Windows (Windows Server 2022 Datacenter),x86,MySQL ODBC 9.3 Unicode Driver not working with Microsoft Visual Studio Professional 2022 - Version 17.11.5
7,118467,https://bugs.mysql.com/bug.php?id=118467,2025-06-17 08:38:00,2025-06-18 10:39:00,MySQL Cluster: Cluster (NDB) storage engine,Closed(97 days),S2,mysql-8.0.41,Any,Any,MySQL user accounts lost after restoring backup on NDB data nodes
8,118282,https://bugs.mysql.com/bug.php?id=118282,2025-05-27 15:56:00,2025-07-15 21:26:00,Connector / NET,Closed(70 days),S3,9.3.0,Any,Any,Contribution: fix: invalid cast exception
9,118269,https://bugs.mysql.com/bug.php?id=118269,2025-05-26 09:41:00,2025-05-26 12:29:00,MySQL Server: Optimizer,Closed(120 days),S2,,Any,Any,The result of anti disk hash join is wrong
10,118228,https://bugs.mysql.com/bug.php?id=118228,2025-05-19 15:02:00,2025-05-19 15:13:00,Connector / J,Closed(127 days),S3,9.0.0,Any,Any,A potential bugs in Mysql Connector/J
