序号,标题,链接,创建时间,状态,标签
1,"[Bug]: When the executeUpdate() method is used, the result set should be closed automatically",https://github.com/oceanbase/oceanbase/issues/2279,2025-05-21T02:33:49Z,CLOSED,"['type: bug', 'status: confirmed']"
2,[Bug]: A bug in the use of Connector,https://github.com/oceanbase/oceanbase/issues/2271,2025-05-12T07:34:03Z,CLOSED,"['type: bug', 'status: confirmed']"
3,[Bug]: Unexpected result under repeatable read isolation level with consistent snapshot,https://github.com/oceanbase/oceanbase/issues/2248,2025-03-26T07:52:56Z,OPEN,"['type: bug', 'status: confirmed']"
4,[Bug]: Unexpected result when `RIGHT JOIN` with subqueries,https://github.com/oceanbase/oceanbase/issues/2247,2025-03-26T02:57:17Z,OPEN,"['type: bug', 'status: confirmed']"
5,[Bug]: Should check the range of auto-increment values when altering a column,https://github.com/oceanbase/oceanbase/issues/2235,2025-02-25T10:34:09Z,OPEN,"['type: bug', 'status: confirmed']"
6,[Bug]: 设置密码检查策略后无法通过IDENTIFIED BY PASSWORD 'hashstring' 方式创建用户,https://github.com/oceanbase/oceanbase/issues/2216,2025-01-09T05:00:51Z,CLOSED,"['type: bug', 'status: confirmed']"
7,[Bug]: ACCESS OUT OF BOUND error - case 3,https://github.com/oceanbase/oceanbase/issues/2214,2025-01-02T10:28:36Z,CLOSED,"['type: bug', 'status: confirmed']"
8,[Bug]: The comparison result between a zero DATETIME value and NULL does not match the expectation.,https://github.com/oceanbase/oceanbase/issues/2211,2024-12-24T07:35:45Z,CLOSED,"['type: bug', 'status: confirmed']"
9,[Bug]: S3 Retrieval Error: Observer Crash from Invalid Memory & Read Size Mismatch,https://github.com/oceanbase/oceanbase/issues/2205,2024-12-18T02:42:25Z,CLOSED,"['type: bug', 'status: confirmed']"
10,[Bug]: The ZEROFILL attribute affects the results of queries.,https://github.com/oceanbase/oceanbase/issues/2204,2024-12-17T06:07:51Z,OPEN,"['type: bug', 'status: confirmed']"
11,[Bug]: Complex CAST operations used as predicates are encountering an Internal Error.,https://github.com/oceanbase/oceanbase/issues/2203,2024-12-16T11:52:47Z,OPEN,"['type: bug', 'status: confirmed']"
12,"[Bug]: Running a complex query encountered the ""No join order generated"" error.",https://github.com/oceanbase/oceanbase/issues/2202,2024-12-16T10:55:01Z,OPEN,"['type: bug', 'status: confirmed']"
13,[Bug]: Incompatible result with MySQL,https://github.com/oceanbase/oceanbase/issues/2200,2024-12-12T11:16:16Z,OPEN,"['type: bug', 'status: confirmed']"
14,[Bug]: The results of the complex query are unexpected.,https://github.com/oceanbase/oceanbase/issues/2197,2024-12-10T13:45:51Z,OPEN,"['type: bug', 'status: confirmed']"
15,[Bug]: Inconsistent results between row storage and column storage for the same query when using `NULLIF`.,https://github.com/oceanbase/oceanbase/issues/2181,2024-12-01T12:35:19Z,CLOSED,"['type: bug', 'module: sql', 'status: confirmed']"
16,"[Bug]: When using the IFNULL function, executing the query results in an Internal error.",https://github.com/oceanbase/oceanbase/issues/2179,2024-11-30T14:16:53Z,OPEN,"['type: bug', 'module: sql', 'status: confirmed']"
17,"[Bug]: When using the SPACE function, executing the query results in an Internal error.",https://github.com/oceanbase/oceanbase/issues/2178,2024-11-30T14:10:34Z,OPEN,"['type: bug', 'module: sql', 'status: confirmed']"
18,[Bug]: The query returned results using an expression with a value of false in the WHERE clause.,https://github.com/oceanbase/oceanbase/issues/2177,2024-11-29T11:20:15Z,OPEN,"['type: bug', 'module: sql', 'status: confirmed', 'mysql-compatibility']"
19,[Bug]: CRASH ERROR in `oceanbase::sql::ObSqlPlan::format_plan_to_json()`,https://github.com/oceanbase/oceanbase/issues/2129,2024-09-21T09:37:17Z,OPEN,"['type: bug', 'status: confirmed']"
20,"[Bug]: CRASH ERROR in oceanbase::sql::ObSqlBitSet<96l, oceanbase::sql::ObExprInfoFlag, true>::has_member(long)",https://github.com/oceanbase/oceanbase/issues/2127,2024-09-19T10:44:52Z,OPEN,"['type: bug', 'status: confirmed']"
21,[Bug]: CRASH ERROR in `oceanbase::sql::ObExprLike::record_last_check<true>`,https://github.com/oceanbase/oceanbase/issues/2126,2024-09-19T10:41:25Z,OPEN,"['type: bug', 'status: confirmed']"
22,[Bug]: obcdc配置config_fpath选项无效 || [Bug]: obcdc configuration config_fpath option is invalid,https://github.com/oceanbase/oceanbase/issues/2075,2024-08-04T09:45:01Z,CLOSED,"['type: bug', 'status: confirmed']"
23,[Bug]: Bit shift for BLOB type behaves incosistently with MySQL8,https://github.com/oceanbase/oceanbase/issues/2018,2024-06-19T11:46:35Z,OPEN,"['type: bug', 'status: confirmed']"
